fold,dataset,oa,aa,k
0,indian_pines,0.8637782982045277,0.8019848600634701,0.8443527571073159
1,indian_pines,0.8497267759562842,0.8120074200734249,0.8286370988337448
2,indian_pines,0.8485558157689306,0.8169211805963251,0.8270482664740295
3,indian_pines,0.8692427790788446,0.8168089465815626,0.8508085873149666
4,indian_pines,0.8508977361436377,0.7905753697160848,0.8294865399836818
5,indian_pines,0.8692427790788446,0.8249743325044963,0.8508947410024261
6,indian_pines,0.8622170179547228,0.8318429395248963,0.8428595555518488
7,indian_pines,0.8555815768930523,0.7661826604510518,0.8349927935329792
8,indian_pines,0.8571428571428571,0.8195328496050168,0.8361376169169913
9,indian_pines,0.8614363778298204,0.834260853850642,0.8412847989504495
