dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,5,zhang,634.887577,0.5616705698672911,0.4396395547804572,0.48290386458964996,5$6$7$23$29,0
indian_pines,5,lw,1380.397292,0.6928181108508977,0.6465021074486665,0.646316208248682,34$36$78$147$148,0
indian_pines,5,lw_relu,1599.908835,0.7345823575331772,0.6944372222652382,0.6948357712116079,34$36$78$80$148,0
indian_pines,5,zhang,459.471804,0.5870413739266198,0.4652197232238703,0.5176695214589868,5$6$8$14$183,1
indian_pines,5,lw,1563.337333,0.6865729898516784,0.6467915773977029,0.637881324666693,34$36$78$147$148,1
indian_pines,5,lw_relu,1749.972982,0.7127244340359095,0.6932310241260322,0.6689444200893393,34$36$41$78$148,1
indian_pines,5,zhang,394.579407,0.6233411397345824,0.48882456463712964,0.5646201024978525,6$8$29$170$174,2
indian_pines,5,lw,1395.603251,0.7111631537861046,0.6389573121073822,0.6666910452358417,34$36$78$80$148,2
indian_pines,5,lw_relu,1783.954528,0.7240437158469946,0.7012361707406041,0.6821945063650264,34$36$80$147$148,2
indian_pines,5,zhang,823.446008,0.5811865729898517,0.441387850918536,0.5098055788554701,5$6$8$30$183,3
