dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,5,attn,1784.765108,0.615144418423107,0.4879011242728189,0.5527114257667252,78$79$89$151$152,0
indian_pines,10,attn,0.0,0.631928181108509,0.5737647706052622,0.5784591698111101,0$78$79$80$89$99$108$147$151$152,0
indian_pines,15,attn,0.0,0.6885245901639344,0.6553379823740562,0.6447765732221462,0$54$61$68$78$79$80$89$99$108$131$142$147$151$152,0
indian_pines,20,attn,0.0,0.7361436377829821,0.7547705523229578,0.6991650885927403,0$37$54$61$66$68$72$78$79$80$89$99$108$130$131$142$147$151$152$155,0
indian_pines,25,attn,0.0,0.7630757220921155,0.7652022449770889,0.7304614847051373,0$37$54$61$66$68$72$78$79$80$85$89$99$108$111$114$129$130$131$142$147$151$152$155$177,0
indian_pines,30,attn,0.0,0.8044496487119438,0.8144700751743977,0.777509064312635,0$21$37$54$61$64$66$68$72$78$79$80$85$89$98$99$108$111$114$129$130$131$136$138$142$147$151$152$155$177,0
