dataset,target_size,fold,algorithm,repeat,time,oa,aa,k,selected_features
indian_pines,25,0,linspacer,0,0.000999,0.8329430132708822,0.8108479684398362,0.8095259601600103,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,0,bsnet,0,37.129406,0.8153786104605777,0.7706922298417829,0.7894440368053239,0-4-5-30-35-46-47-48-51-60-67-68-72-74-101-102-103-112-117-125-148-149-152-165-181
indian_pines,25,0,zhang,0,117.387196,0.812256049960968,0.8462002190769115,0.7861378571406259,2-4-6-12-16-52-55-61-62-65-74-85-94-103-114-117-120-122-129-132-154-179-180-183-185
indian_pines,25,0,bsdr,0,4.309423,0.8458235753317721,0.8774933389727579,0.8242617705836304,10-16-24-27-38-47-56-61-70-78-85-91-99-109-110-119-127-140-148-153-160-162-172-181-191
indian_pines,25,1,linspacer,0,0.0,0.8274785323965652,0.8269537988845349,0.8037117484967726,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,1,bsnet,0,33.647069,0.8185011709601874,0.8004596150298043,0.7933885300830379,0-4-5-9-30-35-46-48-51-60-67-68-71-72-74-101-103-112-117-125-133-148-149-165-172
indian_pines,25,1,zhang,0,92.922192,0.7935206869633099,0.8057546461711516,0.7648098597794072,4-6-16-22-29-47-52-56-62-99-102-103-115-117-120-121-127-129-141-147-151-154-155-175-180
indian_pines,25,1,bsdr,0,4.292603,0.8329430132708822,0.8218679776397768,0.8100716732889691,10-16-24-28-38-47-57-59-66-78-85-91-99-107-111-119-127-140-149-153-159-161-172-182-190
indian_pines,25,2,linspacer,0,0.0,0.8380171740827479,0.8188060798107053,0.8150706875482008,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,2,bsnet,0,33.41788,0.8145979703356753,0.7962283350384103,0.7884768875867506,0-4-30-40-45-46-48-51-60-66-67-68-94-103-112-117-125-138-148-149-152-163-165-176-181
indian_pines,25,2,zhang,0,88.16768,0.8130366900858704,0.8418165633165824,0.7865314186534133,4-6-22-47-54-55-62-65-74-76-78-81-85-99-103-110-117-120-123-128-129-155-162-180-183
indian_pines,25,2,bsdr,0,4.310519,0.8380171740827479,0.8108039613053597,0.8154599001095546,8-17-27-28-38-47-53-59-67-78-85-92-97-107-110-120-127-140-149-153-160-164-171-182-191
indian_pines,25,3,linspacer,0,0.0,0.8477751756440282,0.8473776819853733,0.8267858987862983,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,3,bsnet,0,33.170016,0.8126463700234192,0.8257381932246739,0.7865605115771865,0-4-5-9-35-46-48-51-60-62-67-68-71-102-103-112-117-125-140-148-149-152-165-175-182
indian_pines,25,3,zhang,0,89.993468,0.8356752537080406,0.8389747532950068,0.8124924052263516,4-5-6-16-18-22-33-47-55-61-62-63-65-74-77-85-94-97-120-122-129-132-179-180-196
indian_pines,25,3,bsdr,0,4.368357,0.8610460577673692,0.847002088327789,0.8419143767004346,9-16-23-28-40-46-53-60-65-77-85-92-97-107-119-120-127-137-148-153-161-162-171-181-191
indian_pines,25,4,linspacer,0,0.0,0.8321623731459797,0.8334499530640722,0.8087857934332536,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,4,bsnet,0,36.64581,0.8099141295862607,0.7886213942891779,0.7834928700841652,0-4-5-30-35-40-43-46-48-51-60-67-68-71-81-101-103-112-117-148-149-160-165-183-199
indian_pines,25,4,zhang,0,95.441125,0.804839968774395,0.8452406938297751,0.7776407632910416,4-6-22-33-47-52-54-55-62-65-74-76-78-85-103-117-120-122-128-129-134-159-162-180-183
indian_pines,25,4,bsdr,0,4.581369,0.8306010928961749,0.8565967365773998,0.8068596215316535,8-16-24-27-38-47-57-59-66-78-85-92-97-107-113-120-127-140-145-153-162-166-172-182-190
indian_pines,25,5,linspacer,0,0.0,0.8481654957064794,0.8529357196177259,0.8270680918802595,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,5,bsnet,0,37.803825,0.8157689305230289,0.7657408616685433,0.7901737377775557,0-4-5-6-9-22-30-35-43-46-48-51-60-67-68-102-103-112-117-148-149-152-165-181-182
indian_pines,25,5,zhang,0,95.766019,0.827088212334114,0.8496351224463659,0.8032994345425899,4-6-22-47-54-62-65-74-76-78-85-89-94-97-99-120-122-128-129-132-155-159-162-180-183
indian_pines,25,5,bsdr,0,4.761302,0.8618266978922716,0.8730641429489169,0.8427638260476396,8-17-25-27-38-47-53-59-65-78-85-92-97-108-112-120-128-140-147-153-161-164-172-182-191
indian_pines,25,6,linspacer,0,0.0,0.836455893832943,0.8375928838557803,0.813910650318898,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,6,bsnet,0,36.333124,0.7962529274004684,0.8131430112200008,0.768074552494445,0-4-5-35-43-45-46-48-51-60-67-68-71-72-84-98-103-109-112-117-148-149-165-168-195
indian_pines,25,6,zhang,0,94.397681,0.797423887587822,0.7714183317332057,0.7694044181366938,0-3-18-36-55-60-61-65-78-94-99-115-116-120-123-124-147-150-151-153-154-170-179-183-189
indian_pines,25,6,bsdr,0,4.571317,0.8575331772053083,0.8571140187056472,0.8379883409401815,9-17-24-30-38-47-53-59-66-78-85-92-97-108-111-120-127-140-148-153-160-163-173-182-190
