dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,5,lw_03,1618.993903,0.7302888368462139,0.7503186850662196,0.6906619446685403,23$27$34$39$74,0
indian_pines,10,lw_03,1243.19613,0.7736143637782982,0.7960333145263656,0.7414605298253141,2$20$23$34$39$56$74$78$148$181,1
indian_pines,15,lw_03,546.738874,0.7985948477751756,0.8122253626316476,0.7705571693595121,5$6$7$19$34$39$56$74$78$88$100$147$148$181$196,2
indian_pines,20,lw_03,316.579972,0.827088212334114,0.8318635499150089,0.8031459776141653,5$6$7$19$33$34$36$39$56$74$78$88$100$147$148$149$178$181$184$196,3
indian_pines,25,lw_03,247.063389,0.8333333333333334,0.8425257049005332,0.8103553633176603,5$6$7$8$19$20$33$34$35$36$39$56$74$78$79$88$100$101$147$148$149$178$181$184$196,4
indian_pines,30,lw_03,210.732547,0.8368462138953943,0.8570653962292354,0.8142784751118839,4$5$6$7$8$19$20$27$33$34$35$36$39$56$60$74$78$79$80$88$100$101$146$147$148$149$178$181$184$196,5
